player_1,player_2,player_3,player_4,player_5,games,wins,win_rate
Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT GigaChad#1070,4,4,100.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT GigaChad#1070,1,1,100.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW,13,10,76.92307692307693
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,3,2,66.66666666666666
Billy Bongo#EUW,BuddhaGoesSmite#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,3,2,66.66666666666666
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,18,11,61.111111111111114
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,18,9,50.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT GigaChad#1070,16,8,50.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,6,3,50.0
Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT GigaChad#1070,4,2,50.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,2,1,50.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,2,1,50.0
Billy Bongo#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW,2,1,50.0
BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW,2,1,50.0
Billy Bongo#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,13,6,46.15384615384615
Billy Bongo#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,9,4,44.44444444444444
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,12,5,41.66666666666667
BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,11,4,36.36363636363637
BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,7,2,28.57142857142857
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,8,2,25.0
Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,6,0,0.0
Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,3,0,0.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT GigaChad#1070,2,0,0.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT Final Stand#EUW,WT GigaChad#1070,2,0,0.0
Billy Bongo#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW,2,0,0.0
BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT GigaChad#1070,2,0,0.0
Billy Bongo#EUW,BuddhaGoesSmite#EUW,Sporus#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,1,0,0.0
Billy Bongo#EUW,Sporus#EUW,Tibbtokontop#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,1,0,0.0
BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,1,0,0.0
BuddhaGoesSmite#EUW,Sporus#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Nasty Boy#EUW,1,0,0.0
BuddhaGoesSmite#EUW,Tibbtokontop#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT Nasty Boy#EUW,1,0,0.0
Sporus#EUW,WT BrokenSword#EUW,WT Final Stand#EUW,WT GigaChad#1070,WT Nasty Boy#EUW,1,0,0.0
